ad,kategori,ozet,yol,bayt,ek_dosya,script,kaynak
startup-degerleme,Finans & Yatırım,"Bir startup hakkında sıfırdan derin araştırma yapıp (web, ticaret sicili, app store verileri, uygulama içi gezinti, app review'ları, sosyal medya, rakipler, ekip…",kutuphane/01-finans-yatirim/startup-degerleme,24395,16,evet,"kurulu, proje-içi"
tahmin-savcisi,Finans & Yatırım,"Bir günün tahmin ve kanıt kayıtlarını, commit edilmeden önce ADVERSARYAL olarak denetler - kaynaksız/tarihsiz sayı, eşiği dolmamış bir kuralın uygulanması, sonucu…",kutuphane/01-finans-yatirim/tahmin-savcisi,3571,1,hayır,kurulu
tesvik-avcisi,Finans & Yatırım,"Türkiye merkezli yazılım, SaaS, oyun ve yapay zekâ şirketleri için devlet desteklerini, hibeleri, vergi istisnalarını ve uluslararası fonları tarar; profile göre…",kutuphane/01-finans-yatirim/tesvik-avcisi,12838,6,hayır,claude.ai
vakif-katilim-yatirim,Finans & Yatırım,"Vakıf Katılım'ın mobil uygulaması ve internet şubesi üzerinden erişilebilen tüm yatırım kalemlerinin kanal uzmanı — hangi ürün var, uygulamada hangi menüden alınır…",kutuphane/01-finans-yatirim/vakif-katilim-yatirim,6085,3,hayır,claude.ai
masifico-ahsap-kultur,Masifico — Ahşap Oyuncak,Masifico'nun ahşap kültürü ve malzeme bilgisi danışmanı.,kutuphane/02-masifico-ahsap-oyuncak/masifico-ahsap-kultur,6089,0,hayır,proje-içi
masifico-farklilasma,Masifico — Ahşap Oyuncak,"Masifico'nun farklılaşma stratejisti — her SKU ve kanal için savunulabilir, kanıtlanabilir ve para eden fark üretir; fark iddialarını…",kutuphane/02-masifico-ahsap-oyuncak/masifico-farklilasma,8631,0,hayır,proje-içi
masifico-farklilasma,Masifico — Ahşap Oyuncak,"Masifico'nun farklılaşma stratejisti — her SKU ve kanal için savunulabilir, kanıtlanabilir ve para eden fark üretir; fark iddialarını…",kutuphane/02-masifico-ahsap-oyuncak/masifico-farklilasma--cloud,4589,0,hayır,claude.ai
masifico-kalite-izlenebilirlik,Masifico — Ahşap Oyuncak,"Masifico'nun kalite kontrol ve izlenebilirlik sistemi — gelen kereste kabul kriterleri (nem, sınıf, ret kusurları), proses içi ve son kontrol listeleri, 25 kodlu…",kutuphane/02-masifico-ahsap-oyuncak/masifico-kalite-izlenebilirlik,14647,0,hayır,proje-içi
masifico-maliyet-fiyat,Masifico — Ahşap Oyuncak,"Masifico'nun maliyet ve fiyatlandırma motoru — SKU bazında birim maliyet hesabı (malzeme+fire, fason CNC/torna, boya, ambalaj, mesai gölge maliyeti, test…",kutuphane/02-masifico-ahsap-oyuncak/masifico-maliyet-fiyat--cloud,5583,0,hayır,claude.ai
masifico-maliyet-fiyat,Masifico — Ahşap Oyuncak,"Masifico'nun maliyet ve fiyatlandırma motoru — SKU bazında birim maliyet (malzeme+fire, fason CNC/torna, boya, ambalaj, zayiat, test amortismanı, mesai gölge…",kutuphane/02-masifico-ahsap-oyuncak/masifico-maliyet-fiyat--masifico,8751,0,hayır,proje-içi
masifico-parti-uretim,Masifico — Ahşap Oyuncak,"Masifico'nun parti (seri) üretim planlayıcısı — bir SKU'yu tek prototipten N adetlik partiye çevirir; parti numarası açar, iş emri ve operasyon sırasını kurar…",kutuphane/02-masifico-ahsap-oyuncak/masifico-parti-uretim,6258,0,hayır,proje-içi
masifico-tedarik-rfq,Masifico — Ahşap Oyuncak,"Masifico'nun tedarik ve teklif (RFQ) operatörü — fason atölyelere (ebatlama, CNC, torna, lazer) ve malzeme tedarikçilerine gidecek teklif isteğini hazırlar, teknik…",kutuphane/02-masifico-ahsap-oyuncak/masifico-tedarik-rfq,9124,0,hayır,proje-içi
masifico-teknik-dosya,Masifico — Ahşap Oyuncak,"Masifico'nun CE teknik dosyası derleyicisi ve denetçisi — 2009/48/EC Ek IV'ün (a)-(h) sekiz kalemini klasör klasör kurar, Modül A öz-beyan gerekçesini yazar…",kutuphane/02-masifico-ahsap-oyuncak/masifico-teknik-dosya,12264,0,hayır,proje-içi
masifico-uretim-muhendisi,Masifico — Ahşap Oyuncak,"Masifico'nun üretim mühendisi — bir oyuncak tasarımını fason zincirinin (CNC, torna, lazer) anlayacağı eksiksiz üretim paketine çevirir; parça listesi/BOM, katman…",kutuphane/02-masifico-ahsap-oyuncak/masifico-uretim-muhendisi--cloud,5472,0,hayır,claude.ai
masifico-uretim-muhendisi,Masifico — Ahşap Oyuncak,"Masifico'nun üretim mühendisi — bir oyuncak tasarımını MacBook terminalinden uçtan uca üretime çevirir; parametrik 3D CAD (build123d: STEP/STL/3MF), ölçülendirilmiş…",kutuphane/02-masifico-ahsap-oyuncak/masifico-uretim-muhendisi--masifico,11139,2,evet,proje-içi
masifico-uretim-muhendisi,Masifico — Ahşap Oyuncak,"Masifico'nun üretim mühendisi — bir oyuncak tasarımını MacBook terminalinden uçtan uca üretime çevirir; parametrik 3D CAD (build123d: STEP/STL/3MF), ölçülendirilmiş…",kutuphane/02-masifico-ahsap-oyuncak/masifico-uretim-muhendisi--masifico-gh,9744,2,evet,proje-içi
masifico-urun-gorsel,Masifico — Ahşap Oyuncak,Masifico'nun ürün görseli ve satış materyali operatörü.,kutuphane/02-masifico-ahsap-oyuncak/masifico-urun-gorsel,7360,0,hayır,proje-içi
masifico-video-uretim,Masifico — Ahşap Oyuncak,Masifico'nun gerçekçi ürün videosu operatörü.,kutuphane/02-masifico-ahsap-oyuncak/masifico-video-uretim,8109,0,hayır,proje-içi
oyuncak-mevzuat,Masifico — Ahşap Oyuncak,"Masifico için oyuncak güvenliği ve mevzuat denetçisi — EN 71-1/2/3 tasarım kontrolleri (küçük parça silindiri, çekme/tork eşikleri, sıkışma aralıkları), yaş…",kutuphane/02-masifico-ahsap-oyuncak/oyuncak-mevzuat--cloud,7720,0,hayır,claude.ai
oyuncak-mevzuat,Masifico — Ahşap Oyuncak,"Masifico için oyuncak güvenliği ve mevzuat denetçisi — EN 71-1/2/3 tasarım kontrolleri (küçük parça silindiri, 90 N/50 N çekme, 0,34 Nm tork, sıkışma aralıkları…",kutuphane/02-masifico-ahsap-oyuncak/oyuncak-mevzuat--masifico,20398,0,hayır,proje-içi
oyuncak-mevzuat,Masifico — Ahşap Oyuncak,"Masifico için oyuncak güvenliği ve mevzuat denetçisi — EN 71-1/2/3 tasarım kontrolleri (küçük parça silindiri, 90 N/50 N çekme, 0,34 Nm tork, sıkışma aralıkları…",kutuphane/02-masifico-ahsap-oyuncak/oyuncak-mevzuat--masifico-gh,13680,0,hayır,proje-içi
oyuncak-pazar-radari,Masifico — Ahşap Oyuncak,"Masifico için oyuncak/SKU düzeyinde pazar araştırması uzmanı — Trendyol, Hepsiburada, Etsy ve Google Trends sinyallerinden talep ölçümü (yorum hızı, ""son 3 günde…",kutuphane/02-masifico-ahsap-oyuncak/oyuncak-pazar-radari,10143,0,hayır,proje-içi
oyuncak-pazar-radari,Masifico — Ahşap Oyuncak,"Masifico için oyuncak/SKU düzeyinde pazar araştırması uzmanı — Trendyol, Hepsiburada, Etsy ve Google Trends sinyallerinden talep ölçümü, rekabet yoğunluğu analizi…",kutuphane/02-masifico-ahsap-oyuncak/oyuncak-pazar-radari--cloud,8480,0,hayır,claude.ai
ambient-video-forge,Video & Ses Üretimi,Turns a still cover image plus an audio track into a long-form healing/ambient music video with layered procedural effects (rising smoke and incense plumes…,kutuphane/03-video-ses-uretim/ambient-video-forge,9829,8,evet,kurulu
chibi-character-factory,Video & Ses Üretimi,"Production pipeline for building low-poly chibi game characters using Claude + Blender MCP only (no third-party generators), from parametric base mesh to a rigged…",kutuphane/03-video-ses-uretim/chibi-character-factory,23326,0,hayır,claude.ai
headless-reel-forge,Video & Ses Üretimi,"Mass-produces 9:16 vertical physics Reels/Shorts/TikToks with no window, no editor and no display attached — a Rust rigid-body simulator (rapier) writes a motion…",kutuphane/03-video-ses-uretim/headless-reel-forge,10722,12,hayır,"kurulu, proje-içi"
headless-reel-forge,Video & Ses Üretimi,"Mass-produces 9:16 vertical physics Reels/Shorts/TikToks with no window, no editor and no display attached — a Rust rigid-body simulator (rapier) writes a motion…",kutuphane/03-video-ses-uretim/headless-reel-forge--instagram-reels,10722,17,hayır,proje-içi
healing-audio-youtube-seo,Video & Ses Üretimi,"Names and optimises functional-audio releases for YouTube — healing music, 432 Hz / 528 Hz / solfeggio, binaural and delta beds, sleep, meditation, study, spa…",kutuphane/03-video-ses-uretim/healing-audio-youtube-seo,10730,7,evet,"claude.ai, kurulu"
kling-video-uretim,Video & Ses Üretimi,Moonstone Residence için bir render ya da fotoğraftan fal.ai üzerinde Kling image-to-video ile kısa sinematik klip üretir ve bunu yayın Reels'ine çevirir: görseli…,kutuphane/03-video-ses-uretim/kling-video-uretim,11143,13,evet,kurulu
physics-reel-forge,Video & Ses Üretimi,"Builds and runs a rigid-body physics pipeline that mass-produces 9:16 vertical ""satisfying physics"" Reels/Shorts/TikToks on Apple Silicon — falling cubes, jointed…",kutuphane/03-video-ses-uretim/physics-reel-forge,11460,14,evet,"claude.ai, proje-içi"
procedural-game-audio,Video & Ses Üretimi,"Build procedural (rule-generated, zero-asset) music and SFX engines for Apple-ecosystem apps — iOS/macOS/visionOS games and apps — using pure AVFoundation…",kutuphane/03-video-ses-uretim/procedural-game-audio,9646,1,hayır,"claude.ai, kurulu"
retro-record-label,Video & Ses Üretimi,"A full retro record label in one skill — names the release, art-directs and RENDERS period-accurate album covers at 3000×3000 (procedural plates or the user's own…",kutuphane/03-video-ses-uretim/retro-record-label,9897,13,evet,"claude.ai, kurulu"
shorts-strategy,Video & Ses Üretimi,Format seçimi ve yayın temposu kuralları — yeni bir video/seri fikri değerlendirilirken veya yayın planlanırken uygula,kutuphane/03-video-ses-uretim/shorts-strategy,2630,0,hayır,kurulu
stock-footage-forge,Video & Ses Üretimi,"Builds YouTube Shorts (9:16, 1080x1920) and full music videos (16:9) by cutting royalty-free Pexels STOCK VIDEO clips to an existing music track — center-crop/fps…",kutuphane/03-video-ses-uretim/stock-footage-forge,6085,5,evet,kurulu
suno-composer,Video & Ses Üretimi,"Composes a song as a trained musician would — key/mode, tempo, meter, harmonic plan, form with bar counts, arrangement and vocal tessitura — then translates those…",kutuphane/03-video-ses-uretim/suno-composer,10678,3,hayır,"claude.ai, kurulu"
weft-channel,Video & Ses Üretimi,"Weft Records YouTube kanalını yükleme SONRASINDA yönetir — Studio analitiklerini okumak, sayıları kataloğa yazmak, topluluk (Community) duyurusu geçmek, oynatma…",kutuphane/03-video-ses-uretim/weft-channel,8107,8,evet,kurulu
weft-channel,Video & Ses Üretimi,"Weft Records YouTube kanalını yükleme SONRASINDA yönetir — Studio analitiklerini okumak, sayıları kataloğa yazmak, topluluk (Community) duyurusu geçmek, oynatma…",kutuphane/03-video-ses-uretim/weft-channel--weftrecords-gh,8107,8,evet,kurulu
weft-release,Video & Ses Üretimi,"Weft Records etiketinin uçtan uca yayın hattını yürütür — yeni sanatçı kimliği açma, yayın brief'i, Suno bestesi, retro kapak, yayın metadata'sı ve katalog kaydı.",kutuphane/03-video-ses-uretim/weft-release,3763,0,hayır,kurulu
backlog-arastir,"İçerik, Yazım & Çeviri","ComeSyria için internette alkolsüz, kültürel mirasa ve site kategorilerine (şehir, mekan, rota, yeme-içme) uyan içerik adaylarını araştırır, sitedeki mevcut…",kutuphane/04-icerik-yazim-ceviri/backlog,3788,6,evet,proje-içi
backlog-arastir,"İçerik, Yazım & Çeviri","ComeSyria için internette alkolsüz, kültürel mirasa ve site kategorilerine (şehir, mekan, rota, yeme-içme) uyan içerik adaylarını araştırır, sitedeki mevcut…",kutuphane/04-icerik-yazim-ceviri/backlog-arastir,3197,0,hayır,kurulu
backlog-arastir,"İçerik, Yazım & Çeviri","ComeSyria için internette alkolsüz, kültürel mirasa ve site kategorilerine (şehir, mekan, rota, yeme-içme) uyan içerik adaylarını araştırır, sitedeki mevcut…",kutuphane/04-icerik-yazim-ceviri/backlog-arastir--kirkit,2836,0,hayır,proje-içi
bilimsel-makale-yazimi,"İçerik, Yazım & Çeviri","Bilimsel makale yazımı, denetimi ve yayına hazırlama uzmanı — araştırma sorusundan IMRaD taslağına, raporlama kılavuzu uyumundan…",kutuphane/04-icerik-yazim-ceviri/bilimsel-makale-yazimi,12741,12,hayır,claude.ai
ceviri,"İçerik, Yazım & Çeviri",Bir yazıyı Türkçe ile İngilizce arasında çevirir.,kutuphane/04-icerik-yazim-ceviri/ceviri--abdullahfarukcom-gh,5744,0,hayır,kurulu
ceviri,"İçerik, Yazım & Çeviri","ComeSyria içeriğini Türkçe, küresel İngilizce ve Suriye Arapçası arasında çevirir — makine kokmayan, o dilin okuru için baştan yazılmış metinler üretir; ad/sayı…",kutuphane/04-icerik-yazim-ceviri/ceviri--comesyriacontent,9734,6,evet,kurulu
cv-uzmani,"İçerik, Yazım & Çeviri","CV/özgeçmiş, ön yazı ve başvuru paketi uzmanı — sıfırdan CV kurma, mevcut CV'yi denetleme, belirli bir ilana uyarlama, hedef ülkeye göre lokalize etme…",kutuphane/04-icerik-yazim-ceviri/cv-uzmani,12162,8,evet,claude.ai
english-narration,"İçerik, Yazım & Çeviri","| Writes and audits English narration for vertical short video (Shorts, Reels, TikTok).",kutuphane/04-icerik-yazim-ceviri/english-narration,5828,0,hayır,kurulu
humanly,"İçerik, Yazım & Çeviri",| Finds the fingerprints of AI writing in English prose and rewrites it so it reads like a person wrote it.,kutuphane/04-icerik-yazim-ceviri/humanly,76314,4,hayır,kurulu
icerik-strateji,"İçerik, Yazım & Çeviri","ComeSyria'da sıradaki içeriğin ne olacağına karar verir — envanteri tarayıp ölü hub, eksik alan ve zayıf kümeleri sıralar, GA4 verisinden üretim listesi çıkarır…",kutuphane/04-icerik-yazim-ceviri/icerik-strateji,6055,5,evet,kurulu
icerik-uret,"İçerik, Yazım & Çeviri","ComeSyria için üç dilde (TR/EN/AR) SEO uyumlu şehir, mekan ve rota içeriği üretir — anahtar kelimeyi dil dil araştırır, metni yazar, ticari kullanıma açık…",kutuphane/04-icerik-yazim-ceviri/icerik-uret,11038,11,evet,kurulu
icerik-yaz,"İçerik, Yazım & Çeviri",Türkçe ve İngilizce uzun form içerik yazar.,kutuphane/04-icerik-yazim-ceviri/icerik-yaz,10837,6,evet,GitHub (yerelde yok)
insanca,"İçerik, Yazım & Çeviri","| Türkçe metinlerdeki yapay zeka yazım izlerini tespit edip doğal, akıcı, insan elinden çıkmış gibi okunan Türkçeye çevirir.",kutuphane/04-icerik-yazim-ceviri/insanca,76126,4,hayır,kurulu
sosyal-medya-post-uret,"İçerik, Yazım & Çeviri","ComeSyria için görsel odaklı, marka kimliğine tam uyumlu, üç dilli (TR/EN/AR) Instagram postları, kaydırmalı (carousel) rehberler ve story/reels kapakları üretir.",kutuphane/04-icerik-yazim-ceviri/sosyal-medya-post-uret,7969,0,hayır,kurulu
sosyal-medya-post-uret,"İçerik, Yazım & Çeviri","ComeSyria için görsel odaklı, marka kimliğine tam uyumlu, üç dilli (TR/EN/AR) Instagram postları, kaydırmalı (carousel) rehberler ve story/reels kapakları üretir.",kutuphane/04-icerik-yazim-ceviri/sosyal-medya-post-uret--kirkit,5076,0,hayır,proje-içi
trend-setter,"İçerik, Yazım & Çeviri","Full-stack social media content studio that produces platform-native posts, scripts, captions, threads, and carousel designs that read and look fully human — no AI…",kutuphane/04-icerik-yazim-ceviri/trend-setter,7632,6,hayır,claude.ai
turkce-anlati,"İçerik, Yazım & Çeviri",| Dikey kısa video (Reels · Shorts · TikTok) için Türkçe anlatı metni yazar ve denetler.,kutuphane/04-icerik-yazim-ceviri/turkce-anlati,6938,1,hayır,kurulu
yeme-icme,"İçerik, Yazım & Çeviri","ComeSyria'ya yeme içme mekanı ekler — Google Maps yorumlarını API'siz okuyup süzer, turist tuzağını ve sahte yorumu eler, yalnızca hak edeni üç dilde yayımlar.…",kutuphane/04-icerik-yazim-ceviri/yeme-icme,6558,3,hayır,kurulu
appstore-market-analyst,Pazarlama & Büyüme,"App Store market analyst for the global and Türkiye markets — category size, what people actually pay for, what price to set, whether paid-upfront / freemium /…",kutuphane/05-pazarlama-buyume/appstore-market-analyst,6596,5,hayır,"GitHub (yerelde yok), claude.ai, kurulu"
aso-expert,Pazarlama & Büyüme,"Senior App Store Optimization consultant for iOS App Store and Google Play: keyword research and the 100-char iOS keyword field, title/subtitle/description…",kutuphane/05-pazarlama-buyume/aso-expert,14187,13,evet,"claude.ai, kurulu, proje-içi"
aso-optimizer,Pazarlama & Büyüme,"- Use this skill when auditing, writing, or optimizing mobile application store listings for Apple App Store (App Store Connect) and Google Play Store.",kutuphane/05-pazarlama-buyume/aso-optimizer,4059,3,hayır,proje-içi
hedef-arastirma,Pazarlama & Büyüme,"Danışmanlığı satabileceğimiz firmaları bulur, eler, puanlar ve Attio'ya yazar. ""Kime satalım"", ""hedef listesi çıkar"", ""şu sektörde firma bul"", ""şu listeyi CRM'e…",kutuphane/05-pazarlama-buyume/hedef-arastirma,6794,5,hayır,kurulu
hypercasual-lab,Pazarlama & Büyüme,"Ship and test hyper-casual / hybrid-casual iOS games on a small budget — live trend scanning for mechanics worth building, ad-creative-first validation, the Unity…",kutuphane/05-pazarlama-buyume/hypercasual-lab,11916,4,hayır,claude.ai
klinik-lead-akisi,Pazarlama & Büyüme,"Terapi Panel için psikoloji kliniği adayı bulma, Attio CRM'e ekleme, uygunluk puanlama, 6 puan üstüne tanıtım maili gönderme ve statü güncelleme akışı. ""Yeni klinik…",kutuphane/05-pazarlama-buyume/klinik-lead-akisi,13019,1,hayır,kurulu
reklam-ve-performans,Pazarlama & Büyüme,Moonstone Residence ve konut/emlak projeleri için performans pazarlama ve reklam danışmanlığı — Google Ads ve Meta (Instagram/Facebook) kampanya kurgusu ve hesap…,kutuphane/05-pazarlama-buyume/reklam-ve-performans,13331,8,hayır,kurulu
seo-expert,Pazarlama & Büyüme,"Runs a deep, evidence-based SEO and AI-search (GEO/AEO) audit of a real website and turns it into a prioritized, fix-by-fix action plan with code-level…",kutuphane/05-pazarlama-buyume/seo-expert,10710,5,hayır,"claude.ai, proje-içi"
seo-expert,Pazarlama & Büyüme,"- Use this skill when auditing, designing, or implementing SEO (Search Engine Optimization) for web applications, static websites, dynamic SPAs, or e-commerce sites.",kutuphane/05-pazarlama-buyume/seo-expert--gemini,3521,3,hayır,proje-içi
viral-artifact-scout,Pazarlama & Büyüme,"Finds, feasibility-gates and scores ""shareable artifact"" app opportunities — the Receiptify / Instafest / Wrapped-clone / roast-generator genre where the real…",kutuphane/05-pazarlama-buyume/viral-artifact-scout,15127,6,evet,claude.ai
youtube-shorts-optimizer,Pazarlama & Büyüme,"Senior YouTube Shorts optimization consultant — audits existing Shorts (single videos or whole channels), fixes weak or wrong metadata (titles, tags, hashtags…",kutuphane/05-pazarlama-buyume/youtube-shorts-optimizer,7920,4,hayır,claude.ai
arayuz-denetimi,UX & Ürün Yönetimi,"Kartela Klinik OS arayüzünü uçtan uca denetler — üç demo rolüyle (danışman, sekreter, yönetici) her rotanın mobil / yatay tablet / masaüstü ekran görüntüsünü alır…",kutuphane/06-ux-urun/arayuz-denetimi,11434,4,evet,GitHub (yerelde yok)
arayuz-denetimi,UX & Ürün Yönetimi,"Kartela Klinik OS arayüzünü uçtan uca denetler — üç demo rolüyle (danışman, sekreter, yönetici) her rotanın mobil / yatay tablet / masaüstü ekran görüntüsünü alır…",kutuphane/06-ux-urun/arayuz-denetimi--kartelapsikoloji-gh,11434,4,evet,kurulu
jira-task-writer,UX & Ürün Yönetimi,"Writes and creates Jira issues that contain ONLY what the user actually said - no invented scope, no best-practice padding, no unrequested sections.",kutuphane/06-ux-urun/jira-task-writer,8445,0,hayır,"GitHub (yerelde yok), claude.ai, kurulu"
kartela-web-ux,UX & Ürün Yönetimi,"Kartela Psikoloji'nin (kartelapsikoloji.com, Fatih/İstanbul) web sitesi ve dijital arayüzleri için sükunet-sakinlik-huzur hissi veren, başvuruya yönlendiren…",kutuphane/06-ux-urun/kartela-web-ux,5058,4,hayır,kurulu
mobile-puzzle-game-ui-designer,UX & Ürün Yönetimi,"- Use this skill when designing, styling, or engineering mobile puzzle game user interfaces (UI), visual design systems, color tokens, typography hierarchies…",kutuphane/06-ux-urun/mobile-puzzle-game-ui-designer,6130,0,hayır,proje-içi
mobile-puzzle-game-ux-audit-expert,UX & Ürün Yönetimi,"- Use this skill when auditing, architecting, or designing mobile puzzle game user experiences (UX), mathematical & logic game loops, input/numpad ergonomics…",kutuphane/06-ux-urun/mobile-puzzle-game-ux-audit-expert,6931,0,hayır,proje-içi
mobile-ux-architect,UX & Ürün Yönetimi,"- Use this skill when auditing, architecting, or designing mobile application user experiences (UX), user flows, navigation hierarchies, screen states…",kutuphane/06-ux-urun/mobile-ux-architect,4105,3,hayır,proje-içi
mobile-ux-flow-expert,UX & Ürün Yönetimi,"Staff-level mobile UX flow expertise for iOS and Android - mapping, auditing, specifying and diagramming the paths users take through an app.",kutuphane/06-ux-urun/mobile-ux-flow-expert,13851,7,hayır,"claude.ai, kurulu, proje-içi"
ota-mobile-tablet-ux,UX & Ürün Yönetimi,"Design and audit ComeSyria's phone and tablet experience — the booking funnel (search, results, hotel detail, room selection, checkout, confirmation) and the…",kutuphane/06-ux-urun/ota-mobile-tablet-ux,17469,0,hayır,kurulu
pm-decision-review,UX & Ürün Yönetimi,"Product manager gözüyle otomatik netleştirme soruları sorar, alternatifler ve kazanç/maliyet analizi üretir, karar kaydı çıkarır.",kutuphane/06-ux-urun/pm-decision-review,11489,0,hayır,claude.ai
tacet-ui-ux-design,UX & Ürün Yönetimi,"Strict design system, UI/UX architecture, typography, palette tokens, and interaction guidelines for the Tacet iOS app.",kutuphane/06-ux-urun/tacet-ui-ux-design,6572,0,hayır,proje-içi
web-ux-flow-expert,UX & Ürün Yönetimi,"- Staff-level UX flow expertise for web desktop applications - mapping, auditing, specifying and fixing the paths users take through browser-based tools…",kutuphane/06-ux-urun/web-ux-flow-expert,5119,0,hayır,"kurulu, proje-içi"
apple-platform-architect,Yazılım Mühendisliği,"Staff-level Apple platform engineering judgement for iOS, iPadOS, macOS, watchOS, tvOS and visionOS — choosing an app architecture, picking the right framework…",kutuphane/07-yazilim-muhendislik/apple-platform-architect,8818,7,hayır,"GitHub (yerelde yok), claude.ai, kurulu"
docker-compose-orchestration,Yazılım Mühendisliği,"Container orchestration with Docker Compose for multi-container applications, networking, volumes, and production deployment",kutuphane/07-yazilim-muhendislik/docker-compose-orchestration,47466,3,hayır,"kurulu, proje-içi"
fastapi-microservices-development,Yazılım Mühendisliği,"Comprehensive guide for building production-ready microservices with FastAPI including REST API patterns, async operations, dependency injection, and deployment…",kutuphane/07-yazilim-muhendislik/fastapi-microservices-development,34502,2,hayır,"kurulu, proje-içi"
finops-expert,Yazılım Mühendisliği,"Senior FinOps practitioner expertise grounded in FinOps Framework 2026, FOCUS 1.4, and State of FinOps 2026.",kutuphane/07-yazilim-muhendislik/finops-expert,10336,5,hayır,claude.ai
finops-expert,Yazılım Mühendisliği,"Practitioner-level FinOps expert — the discipline and measurement side of cloud financial management: FinOps Framework (domains, capabilities, Crawl/Walk/Run…",kutuphane/07-yazilim-muhendislik/finops-expert--cloud4next,5511,5,hayır,kurulu
gitnexus-cli,Yazılım Mühendisliği,"Use when the user needs to run GitNexus CLI commands like analyze/index a repo, check status, clean the index, generate a wiki, or list indexed repos.",kutuphane/07-yazilim-muhendislik/gitnexus-cli,3433,0,hayır,proje-içi
gitnexus-cli,Yazılım Mühendisliği,"Use when the user needs to run GitNexus CLI commands like analyze/index a repo, check status, clean the index, generate a wiki, or list indexed repos.",kutuphane/07-yazilim-muhendislik/gitnexus-cli--mcailabs-v4-0,3280,0,hayır,proje-içi
gitnexus-debugging,Yazılım Mühendisliği,"Use when the user is debugging a bug, tracing an error, or asking why something fails.",kutuphane/07-yazilim-muhendislik/gitnexus-debugging,3120,0,hayır,proje-içi
gitnexus-exploring,Yazılım Mühendisliği,"Use when the user asks how code works, wants to understand architecture, trace execution flows, or explore unfamiliar parts of the codebase.",kutuphane/07-yazilim-muhendislik/gitnexus-exploring,2993,0,hayır,proje-içi
gitnexus-guide,Yazılım Mühendisliği,"Use when the user asks about GitNexus itself — available tools, how to query the knowledge graph, MCP resources, graph schema, or workflow reference.",kutuphane/07-yazilim-muhendislik/gitnexus-guide,3468,0,hayır,proje-içi
gitnexus-impact-analysis,Yazılım Mühendisliği,"Use when the user wants to know what will break if they change something, or needs safety analysis before editing code.",kutuphane/07-yazilim-muhendislik/gitnexus-impact-analysis,2889,0,hayır,proje-içi
