"ID","Kategori","Şehir","Türkçe Adı","İngilizce Adı","Arapça Adı","Alt Tür","Durum","Alkol Durumu","Öncelik","Sitedeki Dosya / Slug","Kaynak ve Notlar","Son Güncelleme"
"emevi-camii","place","SAM","Emevî Camii","The Umayyad Mosque","الجامع الأموي","Şam · 8. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/emevi-camii.json","715'te tamamlandı; öncesinde kilise, ondan önce tapınak vardı. Avlunun batı duvarındaki altın mozaikler ilk halinden kalan parça. Ziyaret saatleri ve giyim notu.","2026-08-20"
"esad-pasa-hani","place","SAM","Esad Paşa Hanı","The Khan As'ad Pasha","خان أسعد باشا","Şam · 18. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/esad-pasa-hani.json","Şam'ın en büyük kervansarayı, 1753'te tamamlandı. Dört ağır ayak üstünde dokuz kubbe, siyah-beyaz taş ve Bzuriye Çarşısı'nın ortasında tabelasız bir kapı.","2026-08-20"
"halep-kalesi","place","HALEP","Halep Kalesi","The Aleppo Citadel","قلعة حلب","Halep · 12. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/halep-kalesi.json","Şehrin ortasındaki höyüğün üstünde; girişi sekiz yüz yıllık taş köprüden. Ne görülür, surlardan şehir nasıl okunur, giriş 1500 SYP ve ziyaret notları.","2026-08-20"
"halep-ulu-camii","place","HALEP","Halep Ulu Camii","The Great Mosque of Aleppo","الجامع الأموي الكبير بحلب","Halep · 8. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/halep-ulu-camii.json","8. yüzyılda kurulan, Medine Çarşısı'nın batı ucundaki büyük cami. Avlusunun siyah-beyaz taş döşemesi, 2013'te yıkılan minaresi ve onarımın bugünkü hâli.","2026-08-20"
"halid-bin-velid-camii","place","HUMUS","Halid bin Velid Camii","The Khalid ibn al-Walid Mosque","جامع خالد بن الوليد","Humus · 20. yüzyıl başı","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/halid-bin-velid-camii.json","Humus'un simgesi: geniş bir bahçenin ortasında, cephesi siyah bazalt ve beyaz kireçtaşıyla şerit şerit örülmüş cami. İçinde Halid bin Velid'in türbesi var.","2026-08-20"
"hamidiye-carsisi","place","SAM","Hamidiye Çarşısı","The Al-Hamidiyah Souq","سوق الحميدية","Şam · 19. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/hamidiye-carsisi.json","Kemerli teneke çatı 1925 bombardımanından delik deşik çıktı; o delikler gündüz yere düşen ışık noktalarına dönüşüyor. Çarşı Emevî Camii'nin batı kapısına çıkıyor.","2026-08-20"
"hanania-kilisesi","place","SAM","Hanania Kilisesi","The Chapel of Saint Ananias","كنيسة القدّيس حنانيا","Şam · erken Hristiyan dönemi","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/hanania-kilisesi.json","Şam'ın Hristiyan mahallesinde, sokak seviyesinin 5-6 metre altındaki iki odalı yeraltı şapeli. Pavlus'un vaftiz edildiği yer sayılıyor. Nasıl gidilir, ne görülür.","2026-08-20"
"humus-kalesi","place","HUMUS","Humus Kalesi","Homs Citadel","قلعة حمص","Humus · Eyyûbî — Osmanlı","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/humus-kalesi.json","Eski şehrin güneybatısında, düzlükten 32 metre yükselen yapay bir höyük. Ayakta kale yok; taş kaplı yamaç, sur parçaları ve Humus'un en eski katmanı var.","2026-08-20"
"kasiyun-dagi","place","SAM","Kasiyun Dağı","Mount Qasioun","جبل قاسيون","Şam · seyir noktası","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/kasiyun-dagi.json","Şam'ın kuzeyinde bir dağ ve şehrin tamamını tek kareye sığdıran seyir noktası. Merkezden yarım saat. Ne zaman çıkılır, akşamüstü mü gece mi, nasıl gidilir.","2026-08-20"
"kattina-golu","place","HUMUS","Kattina Gölü","Lake Qattinah","بحيرة قطينة","Humus · antik baraj","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/kattina-golu.json","Humus'un batısında, antik bir barajın tuttuğu göl. Geçidin ağzında su, kuş ve akşamüstü ışığı; şehirden yarım saat, dağdaki kaleye giden yolun tam üstünde.","2026-08-20"
"kessab","place","LAZKIYE","Kessab","Kessab","كسب","Lazkiye · dağ kasabası","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/kessab.json","Lazkiye'nin kuzeyinde, 800 metre yükseklikte, çam ormanlarının içinde bir dağ kasabası. Sahil sıcağından kaçanların yazlık adresi ve Ermeni geçmişiyle ayrı bir yer.","2026-08-20"
"krak-des-chevaliers","place","HUMUS","Krak des Chevaliers","Krak des Chevaliers","قلعة الحصن","Humus · 12. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/krak-des-chevaliers.json","Dünyanın ayakta kalmış en sağlam Haçlı kalesi. Humus'un 65 kilometre batısındaki Kalatü'l-Hısn'a nasıl gidilir, içeride ne görülür, ziyaret ne kadar sürer.","2026-08-20"
"marqab-kalesi","place","LAZKIYE","Marqab Kalesi","Margat Castle","قلعة المرقب","Banyas · 12.–13. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/marqab-kalesi.json","Banyas'ın güneyinde, denize bakan bazalt bir burnun üstünde Hospitalier kalesi. Kara taşı, sahil yolunu tutan konumu, içeride ne görüldüğü ve 1285'te düşüşü.","2026-08-20"
"medine-carsisi","place","HALEP","Medine Çarşısı","The Al-Madina Souq","سوق المدينة","Halep · 13.–16. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/medine-carsisi.json","Halep'in kapalı çarşısı: kilometrelerce tonozlu sokak, aralarına dağılmış hanlar ve bölüm bölüm yeniden açılan dükkânlar. Nereden girilir, ne kadar sürer, ne alınır.","2026-08-20"
"meryem-ana-katedrali","place","SAM","Meryem Ana Katedrali","The Mariamite Cathedral","الكاتدرائية المريمية","Şam · kilise","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/meryem-ana-katedrali.json","Şam'ın Hristiyan mahallesinde Rum Ortodoks patrikliğinin merkezi. 706'da Emevî Camii'ne karşılık Hristiyanlara bırakılan kilise. Giriş ücretsiz, ziyaret notları.","2026-08-20"
"midhat-pasa-carsisi","place","SAM","Midhat Paşa Çarşısı","Souq Midhat Pasha","سوق مدحت باشا","Şam · çarşı","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/midhat-pasa-carsisi.json","Doğru Sokak'ın üstü örtülü batı bölümü; adını 1878'de çarşıyı yeniden düzenleten Osmanlı valisinden alıyor. Kumaş ve abaya sırası, Roma caddesi üstünde.","2026-08-20"
"nureddin-bimaristani","place","SAM","Nureddin Bimaristanı","The Nur al-Din Bimaristan","البيمارستان النوري","Şam · 12. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/nureddin-bimaristani.json","1154'te kurulan ortaçağ hastanesi ve tıp okulu: dört eyvanlı avlu, mukarnaslı taçkapı ve bugün içinde çalışan Arap Bilim ve Tıp Tarihi Müzesi. Camiden on dakika.","2026-08-20"
"nureddin-hamami","place","SAM","Nureddin Hamamı","The Hammam Nur al-Din","حمّام نور الدين","Şam · 12. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/nureddin-hamami.json","12. yüzyıldan kalma ve hâlâ çalışan bir hamam: Bzuriye Çarşısı'nın içinde, sıradan görünen bir kapının altında. Müze değil, gerçekten yıkanılan bir yer.","2026-08-20"
"selahaddin-turbesi","place","SAM","Selahaddin Eyyubi Türbesi","The Mausoleum of Saladin","ضريح صلاح الدين","Şam · 12. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/selahaddin-turbesi.json","Emevî Camii'nin kuzey duvarına bitişik, 1196'da yapılmış küçük kubbeli türbe. İçeride iki sanduka var ve hangisinin gerçek olduğu şaşırtıcı bir hikâye.","2026-08-20"
"tedmur-kalesi","place","TEDMUR","Tedmür Kalesi","Palmyra Castle","قلعة تدمر","Tedmür · ortaçağ","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/tedmur-kalesi.json","Kalıntıların batısındaki tepede duran ortaçağ Arap kalesi. Tedmür'ün tamamını tek kareye sığdıran tek nokta; gün batımından bir saat önce yukarı çıkılıyor.","2026-08-20"
"tedmur-kalintilari","place","TEDMUR","Tedmür Kalıntıları","The Palmyra Ruins","آثار تدمر","Tedmür · MS 1.–3. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/tedmur-kalintilari.json","Bir kilometreyi aşan sütunlu cadde, Roma tiyatrosu ve mezar kuleleri. Tedmür kalıntılarında ne kaldı, gezmek ne kadar sürer, ne zaman gidilir, gölge nerede.","2026-08-20"
"tekkiye-suleymaniye","place","SAM","Tekkiye Süleymaniye Külliyesi","The Takiyya al-Sulaymaniyya","التكية السليمانية","Şam · 16. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/tekkiye-suleymaniye.json","Mimar Sinan'ın Şam'daki tek eseri: Barada kıyısında, 1560'ta biten, kalem gibi çift minareli bir Osmanlı külliyesi. Bugün avlusunda el sanatları çarşısı kurulu.","2026-08-20"
"ugarit-hoyugu","place","LAZKIYE","Ugarit","Ugarit","أوغاريت","Lazkiye · MÖ 2. binyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/ugarit-hoyugu.json","Lazkiye'nin 11 kilometre kuzeyinde, alfabenin en eski örneklerinden birinin bulunduğu höyük. Tunç Çağı sarayı, gezmek ne kadar sürer ve ne zaman gidilir.","2026-08-20"
"ummuz-zunnar-kilisesi","place","HUMUS","Ümmü'z-Zünnar Kilisesi","Church of the Holy Belt","كنيسة أم الزنّار","Humus · kilise","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/ummuz-zunnar-kilisesi.json","Humus'un eski şehrinde Süryani Ortodoks kilisesi. Adını sakladığı kuşaktan alıyor; yerin altındaki alçak tavanlı bölüm yapının en eski kısmı. Ziyaret notları.","2026-08-20"
"vadi-el-kubur","place","TEDMUR","Vadi el-Kubur mezar kuleleri","The tower tombs of the Valley of the Tombs","أبراج المدافن في وادي القبور","Tedmür · MS 1.–2. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/vadi-el-kubur.json","Tedmür'ün batısındaki vadide, kare planlı çok katlı taş mezar kuleleri. Tedmürlü ailelerin ölülerini kat kat nasıl gömdüğünü anlatan tek yer; araç gerekiyor.","2026-08-20"
"bakdas-dondurmacisi","food","SAM","Bakdaş Dondurmacısı","Bakdash Ice Cream","بوظة بكداش","Şam · booza","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","food/bakdas-dondurmacisi.json","Hamidiye Çarşısı'nın ortasında, 1885'ten beri aynı dükkân. Booza sahlep ve sakızla yapılıyor, tahta tokmaklarla dövülüyor ve bütün işlem tezgâhın önünde geçiyor.","2026-08-20"
"nevfara-kahvesi","food","SAM","Nevfara Kahvesi","Al-Nawfara Café","مقهى النوفرة","Şam · kahvehane","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","food/nevfara-kahvesi.json","Emevî Camii'nin doğu kapısından inen merdivenin dibinde, Şam'ın en eski kahvehanesi. Hakawati her akşam 20:00'de iskemleye çıkıyor ve yarım saat okuyor.","2026-08-20"
"halep-kaleden-camiye","route","HALEP","Halep'te kaleden camiye","Aleppo from the citadel to the mosque","حلب من القلعة إلى الجامع","Yürüyerek · 5 saat","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","routes/halep-kaleden-camiye.json","Kaleden başlayıp çarşı boyunca batıya yürüyen, Ulu Camii'de biten bir güzergâh. Üç durak, 1,6 kilometre; tamamı kapalı ve gölgede, yürümesi gün boyu sürüyor.","2026-08-20"
"hamidiyeden-emeviye-yedi-durak","route","SAM","Hamidiye'den Emevî'ye yedi durak","Seven stops from the Hamidiyya to the Umayyad Mosque","سبع محطات من الحميدية إلى الجامع الأموي","Yürüyerek · 4 saat","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","routes/hamidiyeden-emeviye-yedi-durak.json","Hamidiye'nin ışık delikli çatısından Emevî Camii'nin avlusuna yedi durak. Toplam 600 metre, duraklar arası en fazla 150 — eski Şam'ın çekirdeği adım adım.","2026-08-20"
"humustan-krak-yarim-gun","route","HUMUS","Humus'tan Krak des Chevaliers'a yarım gün","Homs to Krak des Chevaliers in half a day","من حمص إلى قلعة الحصن في نصف يوم","Araçla · yarım gün","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","routes/humustan-krak-yarim-gun.json","Şehrin kuzeyinden çıkıp geçidin ağzındaki göle, oradan dağdaki kaleye. Üç durak, 80 kilometre; sabah çıkıp akşam yemeğine Humus'a dönülüyor. Araç gerekiyor.","2026-08-20"
"lazkiyeden-krak-des-chevaliersa","route","LAZKIYE","Sahilden kaleye: Lazkiye'den Krak des Chevaliers'a","From the coast to the castle: Latakia to Krak des Chevaliers","من الساحل إلى القلعة: من اللاذقية إلى قلعة الحصن","Araçla · 1 gün","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","routes/lazkiyeden-krak-des-chevaliersa.json","Tunç Çağı limanından iki Haçlı kalesine, araçla ve tek günde. Üç durak ve 145 kilometre: mesafe, zamanlama ve dağ yolunun hangi saatte en iyi göründüğü.","2026-08-20"
"sam-eski-sehir-bir-gun","route","SAM","Eski Şam'da bir gün","Old Damascus in a day","دمشق القديمة في يوم","Yürüyerek · 6 saat","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","routes/sam-eski-sehir-bir-gun.json","Bab Şarki'den başlayıp Emevî Camii'nde biten, surların içinde kalan bir güzergâh. Beş durak, tamamı yürünebilir: ara vermeden altı saat, ara vererek bir gün.","2026-08-20"
"sam-hristiyan-mahallesi-yuruyusu","route","SAM","Şam'ın Hristiyan mahallesinde yürüyüş: Bab Şarki'den Bab Kisan'a","A walk through the Christian quarter of Damascus: Bab Sharqi to Bab Kisan","جولة مشي في الحي المسيحي بدمشق: من الباب الشرقي إلى باب كيسان","Yürüyerek · 2 saat","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","routes/sam-hristiyan-mahallesi-yuruyusu.json","Şam'ın Hristiyan mahallesinde 900 metre, üç durak: Roma doğu kapısı, sokağın altındaki şapel ve kilise cephesine dönüşmüş bir kapı. Sıra ve saat önemli.","2026-08-20"
"tedmurde-bir-gun","route","TEDMUR","Tedmür'de bir gün","A day in Palmyra","يوم في تدمر","Araçla ve yürüyerek · 1 gün","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","routes/tedmurde-bir-gun.json","Sütunlu caddeden mezar kulelerine, oradan kaleye. Üç durak, 16 kilometre, uzun bir gün — sıralamayı mesafe değil çölün ışığı belirliyor, öğle boş geçiyor.","2026-08-20"
"selahaddin-kalesi","place","LAZKIYE","Selahaddin Kalesi","","","Mekan","KUYRUKTA","Alkolsüz (Doğrulandı)","P1 - Yüksek (Kuyrukta)","content/kuyruk.json","aday havuzu onaylandi 2026-08-20; lazkiye kumesi 3 mekanda, en zayif kume","2026-08-20"
"mar-semaan-aziz-simeon-kilisesi-","place","HALEP","Mar Semaan (Aziz Simeon Kilisesi)","","","Mekan","KUYRUKTA","Alkolsüz (Doğrulandı)","P1 - Yüksek (Kuyrukta)","content/kuyruk.json","aday havuzu onaylandi 2026-08-20; halep kumesini 6'ya cikariyor","2026-08-20"
"fatteh-al-bawadekji-midan","food","SAM","Fetteci el-Bevâdıkcî (El-Meydan)","Fatteh Al-Bawadekji (Al-Midan)","فتة البوادقجي في الميدان","Geleneksel Şam Kahvaltısı / Fatteh","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Kızgın tereyağı ve çam fıstığıyla cızırdayan yoğurtlu tahinli nohut fettesinde Şam klasiği","2026-08-20"
"abu-arab-haider-tatlicisi-midan","food","SAM","Ebu Arab Haydar Tatlıcısı (El-Meydan)","Abou Arab Haider Sweets (Al-Midan)","حلويات أبو عرب حيدر","Geleneksel Tatlıcı / Barazek & Baklava","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Meydan Caddesi’nde fıstıklı barazek, ghorayeba ve taze Şam baklavası ustası","2026-08-20"
"semiramis-tatlicisi-damascus","food","SAM","Semiramis Tatlıcısı (Al-Shaalan)","Semiramis Sweets Damascus","حلويات سميراميس","Geleneksel Lüks Baklavacı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","1950’den beri saf koyun sadeyağı ve bol Halep fıstığıyla yapılan ünlü Şam baklavası","2026-08-20"
"el-cezmatiye-caddesi-meydan","food","SAM","El-Cezmatiye Caddesi Sokak Lezzetleri","Al-Jazmatiya Food Street (Al-Midan)","شارع الجزماتية في الميدان","Yöresel Mutfak / Fatteh, Şavurma & Fırın","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Şam mutfağının kalbi; nohutlu tahinli fatteh, kuzu çevirme ve fıstıklı tatlı koridoru","2026-08-20"
"diwan-al-muhanna-tatlicisi","food","SAM","Divan el-Mühenna Tatlıcısı","Diwan Al Muhanna Sweets","حلويات ديوان المهنا","Geleneksel Tatlıcı / Mabroumeh & Künefe","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Fıstık dolgulu bükme kadayıf (Mabroumeh) ve ashta dolgulu Halawet el-Jibn çeşitleri","2026-08-20"
"al-ayoubi-tatlicisi-rukn-al-din","food","SAM","El-Eyyubi Tatlıcısı (Rukneddin)","Al-Ayoubi Sweets (Rukn al-Din)","حلويات الأيوبي","Geleneksel Künefe & Nammoura","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Sıcak tepsilerde sunulan sünme peynirli Şam künefesi ve kaymaklı nammoura","2026-08-20"
"abu-shaker-meyve-kokteyli","food","SAM","Ebu Şakir Meyve & Kaymak Kokteylcisi","Abu Shaker Fruit Cocktail (Salhiyeh)","عصير وكوكتيل أبو شاكر","Geleneksel Taze Meyve & Ashta Barı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Salhiye’de 1950’lerden beri taze meyve püresi, bal, taze kaymak (ashta) ve kaju/fıstık kokteyli","2026-08-20"
"al-khawaja-foul-hummus-sarouja","food","SAM","El-Hâce Bakla & Humusçusu (Saruca)","Al-Khawaja Foul & Hummus (Sarouja)","فول وحمص الخواجة بساروجة","Geleneksel Bakla, Humus & Msabbaha","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Saruca çarşısında zeytinyağlı, sarımsaklı ve kimyonlu sıcak bakla tabağı","2026-08-20"
"furn-al-sabounji-manakish","food","SAM","Sabuncu Taş Fırını (Eski Şam Menâkiş)","Al-Sabounji Traditional Oven (Old Damascus)","فرن الصابونجي في دمشق القديمة","Tarihi Taş Fırın / Zahter & Peynirli Ekmek","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Odun ateşinde pişirilen zeytinyağlı dağ kekiği (zatar) ve Akka peynirli sıcak menâkiş","2026-08-20"
"al-koussa-tatlicisi-midan","food","SAM","El-Kûsa Tatlıcısı (El-Meydan)","Al-Koussa Sweets (Al-Midan)","حلويات الكوسا","Geleneksel Maamoul & Ghorayeba","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Hurmalı ve fıstıklı kalıp kurabiyesi Maamoul ile ağızda dağılan Ghorayeba ustası","2026-08-20"
"rawda-kahvesi-damascus","food","SAM","Ravza Kahvesi (El-Kassa / Şam)","Al-Rawda Cafe Damascus","مقهى الروضة في دمشق","Tarihi Bahçe Kahvehanesi / Çay & Nargile","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Yazarların, gazetecilerin ve satranç tutkunlarının asırlık buluşma noktası; adaçayı ve kakuleli kahve","2026-08-20"
"al-kamal-kahvesi-salhiye","food","SAM","Kemal Kahvesi (Salhiye)","Al-Kamal Historic Cafe","مقهى الكمال في الصالحية","1930’lar Klasik Şam Kahvehanesi","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Fransız manda döneminden kalan tavan aynaları ve geleneksel pirinç cezve kahvesi","2026-08-20"
"anas-shawarma-damascus","food","SAM","Enes Şavurma (El-Meydan & Shaalan)","Anas Shawarma Damascus","شاورما أنس","Suriye Usulü Kuzu & Tavuk Şavurma","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","İncecik sac ekmeğinde, sarımsaklı toum sosu ve kornişon turşuyla preslenen efsane şavurma","2026-08-20"
"al-siddiq-lokantasi-midan","food","SAM","El-Sıddık Geleneksel Şam Lokantası","Al-Siddiq Traditional Restaurant (Al-Midan)","مطعم الصديق في الميدan","Geleneksel Güveç & Kuzu Dolma","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Kuzu kaburga dolması, fıstıklı iç pilav ve taze Şam güveçleri","2026-08-20"
"souq-al-buzuriyah-serbetcileri","food","SAM","Büzüriye Meyan Kökü & Demirhindi Şerbetçisi","Buzuriyah Traditional Sherbet Vendors","بائعو عرق السوس والتمر هندي في البزورية","Sokak İçeceği / Geleneksel Şerbet","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Sırtlarındaki dev pirinç güğümler ve pirinç zillerle buzlu meyan kökü (Erk Sûs) ve demirhindi dağıtan seyyarlar","2026-08-20"
"daoud-brothers-halawet-el-jibn","food","SAM","Davut Kardeşler Tatlıcısı (Eski Şam)","Daoud Brothers Sweets","حلويات الإخوة داود","","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Günlük taze manda kaymağıyla doldurulan gül sulu Halawet el-Cibn","2026-08-20"
"falafel-abu-hana-bab-touma","food","SAM","Ebu Hanna Falafelcisi (Bab Tuma)","Abu Hanna Falafel (Bab Touma)","فلافل أبو حنا بباب توما","Tarihi Çıtır Falafel & Tarator","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Kişniş ve nohutla taze çekilip susamla kızartılan sıcak Şam falafeli","2026-08-20"
"al-mahrousa-tatlicisi-damascus","food","SAM","El-Mahruse Tatlıcısı","Al-Mahrousa Sweets Damascus","حلويات المحروسة","Geleneksel Kadayıf & Awameh","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Çıtır lokma tatlısı Awameh ve cevizli fıstıklı çıtır kuru kadayıf","2026-08-20"
"halep-visneli-kebabi","food","HALEP","Geleneksel Halep Vişneli Kebabı (Lahm bi Karaz)","Aleppine Cherry Kebab (Lahm bi Karaz)","كباب بالكرز الحلبي","Geleneksel Halep Mutfağı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Yabani vişne suyu (veşne), tarçın ve çam fıstığıyla pide üzerinde sunulan Halep mutfağı imzası","2026-08-20"
"al-mamouniyeh-breakfast-jdeideh","food","HALEP","Memuniye Kahvaltıcısı (Al-Hatab Meydanı)","Al-Mamouniyeh Traditional Breakfast","المأمونية الحلبية في ساحة الحطب","Geleneksel İrmik Helvası & Örgü Peynir","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Tereyağında kavrulan sıcak şerbetli irmik tatlısının yanında tuzlu Halep tel peyniriyle sunulan sabah kahvaltısı klasiği","2026-08-20"
